URL,Compnay Name,Series,Description,Contact Name,Product page,CA Section 01350,CDPH Standard Method V1.2-2017,Environmental Product Declaration (EPD),Green Squared Certificate,LEED PC 112 - Certified Multi-Attribute Products and Materials Compliant,NAHB National Green Building Standard - 611.2 Sustainable Products,IgCC 2015 - 505.3.2 Multi-Attribute Standard Compliant,UL GREENGUARD Certificate,UL GREENGUARD GOLD Certificate,"Green Building Codes, Standards & Rating Systems Guide",Tile Lifecycle Cost Comparison,The Natural Choice Informative Brochure
https://greensquaredcertified.ecomedes.com/products/crossville-inc/altered-state,Crossville Inc.,Altered State,"Artfully mimicking the beauty of oxidized and aged steel, copper, iron, zinc, and chromium
6 x 24, 12 x 24, 24 x 24, and 2 x 12 sheet mounted mosaics add to design versatility
All sizes are rectified and modular with a minimum of 3mm grout joint
Available in 5 metal inspired colors
Cross-Sheen® finish for easy cleaning
Altered State contains a minimum of 4% pre-consumer recycled content and is manufactured by Crossville® using processes that is Green SquaredSM certified.",,https://www.crossvilleinc.com/Products/Altered-State/Copper-Core,,,"Industry Wide (4789101745.101.1),Certified by ,UL Environment,valid 2020-04-01 to 2025-04-01","SCS-GS-02753,Certified by ,SCS Global Services,valid 2022-03-15 to 2025-04-30",Yes,Yes,Yes,,,https://whytile.com/library/tile-green-building-credits-requirements/,https://whytile.com/library/life-cycle-cost-study/,https://whytile.com/library/tcna-tile-natural-choice/
https://greensquaredcertified.ecomedes.com/products/ege-seramik-sanayi-ve-ticaret-anonim-sirketi/wall-tiles,EGE SERAMIK SANAYI VE TICARET ANONIM SIRKETI,Wall Tiles,Dry-Pressed Ceramic Wall Tiles For Interior.,ALI RIZA AKLIKLI,,Yes,Yes,"Product Specific (102052-4150),Certified by ,UL Environment,valid until 2025-07-01,Industry Wide (4789101745.101.1), ,Certified by ,UL Environment,valid 2020-04-01 to 2025-04-01","102052-4420,ANSI A138.1-2011 GREEN SQUARED American Standard Specifications for Sustainable Ceramic Tiles, Glass Tiles and Tile Installation Materials,Certified by ,UL Environment,valid until 2025-02-11",Yes,Yes,Yes,"102052-410,UL 2818 - 2013 Standard for Chemical Emissions for Building Materials, Finishes and Furnishings,Certified by ,UL Environment,valid until 2022-10-31","102052-420,UL 2818 - 2013 Gold Standard for Chemical Emissions for Building Materials, Finishes and Furnishings,Certified by ,UL Environment,valid until 2022-10-31",https://whytile.com/library/tile-green-building-credits-requirements/,https://whytile.com/library/life-cycle-cost-study/,https://whytile.com/library/tcna-tile-natural-choice/
https://greensquaredcertified.ecomedes.com/products/american-wonder-porcelain/aegean-stone,American Wonder Porcelain,Aegean Stone,"A striking emulation of authentic Aegean stone, this new porcelain tile collection captures the dramatic natural beauty of the Greek Islands. Bold graphics are balanced with soft, rich colors in a palette that reflects current trends but echoes timeless traditions.",,,,,"Industry Wide (4789101745.101.1),Certified by ,UL Environment,valid 2020-04-01 to 2025-04-01","165499-4420,ANSI A138.1-2011 GREEN SQUARED American Standard Specifications for Sustainable Ceramic Tiles, Glass Tiles and Tile Installation Materials,Certified by ,UL Environment,valid until 2025-02-28",Yes,Yes,Yes,,,https://whytile.com/library/tile-green-building-credits-requirements/,https://whytile.com/library/life-cycle-cost-study/,https://whytile.com/library/tcna-tile-natural-choice/
https://greensquaredcertified.ecomedes.com/products/interceramic/barcelona-ii,Interceramic,Barcelona II,"The Barcelona II collection from Interceramic is a stunning contemporary collection that offers a look reminiscent of tumbled travertine. This decidedly modern tile is formed from unglazed, rectified porcelain with both polished and matte finishes for the utmost in durability and style. Cool contemporary colors include Beige, Cafe Tobaco, Dark Grey, Graphite, Light Grey, Moka, and White. With a total of seven sleek shades, Barcelona II is one of the more versatile collections in Interceramic’s contemporary lineup. The collection is also available in the following sizes: 24""X24"", 12""X12"", 12""X24"", and 16""X16"", plus numerous mosaic and trim pieces. We love Barcelona II in the kitchen, bath or living areas of contemporary homes.",,https://www.Interceramic.com,,,"Industry Wide (4789101745.101.1),Certified by ,UL Environment,valid 2020-04-01 to 2025-04-01","SCS-GS-02759,Certified by ,SCS Global Services,valid 2017-09-11 to 2023-04-30",Yes,Yes,Yes,,,https://whytile.com/library/tile-green-building-credits-requirements/,https://whytile.com/library/life-cycle-cost-study/,https://whytile.com/library/tcna-tile-natural-choice/
https://greensquaredcertified.ecomedes.com/products/interceramic/canna,Interceramic,Canna,"Interceramic has been an industry leader in manufacturing innovative ceramic and porcelain tile in North and Central America for over 40 years. The Interceramic brand was founded in Mexico, and has been crafted to become one of the strongest and most well known brands in Central America. In 1994 Interceramic entered the United States market, further cementing global recognition as a leading manufacturer of quality products, with unparalleled service.",,https://www.Interceramic.com,,,"Industry Wide (4789101745.101.1),Certified by ,UL Environment,valid 2020-04-01 to 2025-04-01","SCS-GS-02759,Certified by ,SCS Global Services,valid 2017-09-11 to 2023-04-30",Yes,Yes,Yes,,,https://whytile.com/library/tile-green-building-credits-requirements/,https://whytile.com/library/life-cycle-cost-study/,https://whytile.com/library/tcna-tile-natural-choice/
https://greensquaredcertified.ecomedes.com/products/interceramic/crema-maya,Interceramic,Crema Maya,"Interceramic has been an industry leader in manufacturing innovative ceramic and porcelain tile in North and Central America for over 40 years. The Interceramic brand was founded in Mexico, and has been crafted to become one of the strongest and most well known brands in Central America. In 1994 Interceramic entered the United States market, further cementing global recognition as a leading manufacturer of quality products, with unparalleled service.",,https://www.Interceramic.com,,,"Industry Wide (4789101745.101.1),Certified by ,UL Environment,valid 2020-04-01 to 2025-04-01","SCS-GS-02759,Certified by ,SCS Global Services,valid 2012-04-15 to 2023-04-30",Yes,Yes,Yes,,,https://whytile.com/library/tile-green-building-credits-requirements/,https://whytile.com/library/life-cycle-cost-study/,https://whytile.com/library/tcna-tile-natural-choice/
https://greensquaredcertified.ecomedes.com/products/interceramic/forest-impressions,Interceramic,Forest Impressions,"Interceramic has been an industry leader in manufacturing innovative ceramic and porcelain tile in North and Central America for over 40 years. The Interceramic brand was founded in Mexico, and has been crafted to become one of the strongest and most well known brands in Central America. In 1994 Interceramic entered the United States market, further cementing global recognition as a leading manufacturer of quality products, with unparalleled service.",,https://www.Interceramic.com,,,"Industry Wide (4789101745.101.1),Certified by ,UL Environment,valid 2020-04-01 to 2025-04-01","SCS-GS-02759,Certified by ,SCS Global Services,valid 2012-04-15 to 2023-04-30",Yes,Yes,Yes,,,https://whytile.com/library/tile-green-building-credits-requirements/,https://whytile.com/library/life-cycle-cost-study/,https://whytile.com/library/tcna-tile-natural-choice/
https://greensquaredcertified.ecomedes.com/products/interceramic/industry,Interceramic,Industry,"Interceramic has been an industry leader in manufacturing innovative ceramic and porcelain tile in North and Central America for over 40 years. The Interceramic brand was founded in Mexico, and has been crafted to become one of the strongest and most well known brands in Central America. In 1994 Interceramic entered the United States market, further cementing global recognition as a leading manufacturer of quality products, with unparalleled service.",,https://www.Interceramic.com,,,"Industry Wide (4789101745.101.1),Certified by ,UL Environment,valid 2020-04-01 to 2025-04-01","SCS-GS-02759,Certified by ,SCS Global Services,valid 2017-09-11 to 2023-04-30",Yes,Yes,Yes,,,https://whytile.com/library/tile-green-building-credits-requirements/,https://whytile.com/library/life-cycle-cost-study/,https://whytile.com/library/tcna-tile-natural-choice/
https://greensquaredcertified.ecomedes.com/products/interceramic/marbre,Interceramic,Marbre,"Interceramic has been an industry leader in manufacturing innovative ceramic and porcelain tile in North and Central America for over 40 years. The Interceramic brand was founded in Mexico, and has been crafted to become one of the strongest and most well known brands in Central America. In 1994 Interceramic entered the United States market, further cementing global recognition as a leading manufacturer of quality products, with unparalleled service.",,https://www.Interceramic.com,,,"Industry Wide (4789101745.101.1),Certified by ,UL Environment,valid 2020-04-01 to 2025-04-01","SCS-GS-02759,Certified by ,SCS Global Services,valid 2017-09-11 to 2023-04-30",Yes,Yes,Yes,,,https://whytile.com/library/tile-green-building-credits-requirements/,https://whytile.com/library/life-cycle-cost-study/,https://whytile.com/library/tcna-tile-natural-choice/
https://greensquaredcertified.ecomedes.com/products/interceramic/non-stock,Interceramic,Non Stock,"Interceramic has been an industry leader in manufacturing innovative ceramic and porcelain tile in North and Central America for over 40 years. The Interceramic brand was founded in Mexico, and has been crafted to become one of the strongest and most well known brands in Central America. In 1994 Interceramic entered the United States market, further cementing global recognition as a leading manufacturer of quality products, with unparalleled service.",,https://www.Interceramic.com,,,"Industry Wide (4789101745.101.1),Certified by ,UL Environment,valid 2020-04-01 to 2025-04-01","SCS-GS-02759,Certified by ,SCS Global Services,valid 2012-04-15 to 2023-04-30",Yes,Yes,Yes,,,https://whytile.com/library/tile-green-building-credits-requirements/,https://whytile.com/library/life-cycle-cost-study/,https://whytile.com/library/tcna-tile-natural-choice/
