Record ID,Status,Brand Name,Model Number,Family Name,Selling Countries,Manufacturing Countries,Product Website,Representative Brand URL,Availability,Expiry Date
74235,Approved,GIGABYTE,"P34****;U34****(* can be 0-9 ,A-Z)-c",,Australia,Taiwan,,http://www.gigabyte.com.au/?f=g,Unavailable,2113-09-11
74685,Approved,Compucon,0MJA-a,,New Zealand,New Zealand,http://www.compucon.co.nz/,http://www.compucon.co.nz/,Unavailable,2114-01-29
75452,Approved,Insite Technology,DT110I73770KH77EB16G2-d,,New Zealand,New Zealand,,http://www.insite.co.nz/,Unavailable,2113-09-23
75453,Approved,Insite Technology,DT100I73770KH61BE16G2-d,,New Zealand,New Zealand,,http://www.insite.co.nz/,Unavailable,2113-10-01
75454,Approved,Insite Technology,QT200I73770KH61BE16G2W400-d,,New Zealand,New Zealand,,http://www.insite.co.nz/,Unavailable,2113-10-02
75456,Approved,Insite Technology,QT210I73770KH77EB16G2W400-d,,New Zealand,New Zealand,,http://www.insite.co.nz/,Unavailable,2113-10-02
75688,Approved,Arche,ARCHE DUAL DESKTOP V1-b,,New Zealand,New Zealand,http://www.arche.co.nz/,http://www.arche.co.nz/,Unavailable,2113-09-27
75689,Approved,XPC,XPC450-a,,New Zealand,New Zealand,http://www.xpcomputers.co.nz/,,Unavailable,2113-10-11
75690,Approved,Arche,Arche Quad Desktop V1-c,,New Zealand,New Zealand,http://www.arche.co.nz/,http://www.arche.co.nz/,Unavailable,2113-09-27
75691,Approved,Arche,Arche G Desktop V1-d,,New Zealand,New Zealand,http://www.arche.co.nz/,http://www.arche.co.nz/,Unavailable,2113-09-27
75714,Approved,Xpress Net,H81-d,,New Zealand,New Zealand,,http://www.xpressnet.co.nz/,Unavailable,2113-10-18
75728,Approved,Computer Corner,Element-a,,New Zealand,New Zealand,http://www.computercorner.co.nz/,,Unavailable,2113-10-08
75801,Approved,1stwave,FSP-d,,New Zealand,New Zealand,,http://www.1stwave.co.nz/,Available,2113-10-02
75937,Approved,PB,WKSPB9000PN700-a,,New Zealand,New Zealand,http://www.pbtech.co.nz/,http://www.pbtech.co.nz/,Unavailable,2113-10-03
75994,Approved,Computer Corner,Spark-a,,New Zealand,New Zealand,http://www.computercorner.co.nz/,,Unavailable,2113-10-08
76078,Approved,Onlinesale Computers,AMD8350K350FSP550-c,,New Zealand,New Zealand,http://www.onlinesale.co.nz/,,Unavailable,2113-11-12
76079,Approved,Onlinesale Computers,i74770FSP550W-c,,New Zealand,New Zealand,http://www.onlinesale.co.nz/,,Unavailable,2113-11-12
76085,Approved,Simply Computers System,SIMPCOMP13I5-a,,New Zealand,New Zealand,,,Unavailable,2113-10-17
76106,Approved,Xpress Net,B85-d,,New Zealand,New Zealand,,http://www.xpressnet.co.nz/,Unavailable,2113-10-18
76133,Approved,Dove Barebones,BB16-a,,New Zealand,New Zealand,http://www.dove.co.nz/,http://www.dove.co.nz/,Unavailable,2113-10-17
76134,Approved,Dove Barebones,BB17-a,,New Zealand,New Zealand,http://www.dove.co.nz/,http://www.dove.co.nz/,Unavailable,2113-10-21
76135,Approved,Dove Barebones,BB75-a,,New Zealand,New Zealand,http://www.dove.co.nz/,http://www.dove.co.nz/,Unavailable,2113-10-17
76136,Approved,Dove Barebones,BB76-a,,New Zealand,New Zealand,http://www.dove.co.nz/,http://www.dove.co.nz/,Unavailable,2113-10-21
76154,Approved,2MORO & IT,2I750S-a,,New Zealand,New Zealand,http://www.2moroit.co.nz/,http://www.2moroit.co.nz/,Unavailable,2113-10-11
76252,Approved,2MORO & IT,2I650S-a,,New Zealand,New Zealand,http://www.2moroit.co.nz/,http://www.2moroit.co.nz/,Unavailable,2113-10-11
76253,Approved,2MORO & IT,2I550S-a,,New Zealand,New Zealand,http://www.2moroit.co.nz/,http://www.2moroit.co.nz/,Unavailable,2113-10-11
76254,Approved,2MORO & IT,2I450S-a,,New Zealand,New Zealand,http://www.2moroit.co.nz/,http://www.2moroit.co.nz/,Unavailable,2113-10-11
76267,Approved,PB,WKSPBPN333493-a,,New Zealand,New Zealand,http://www.pbtech.co.nz/,http://www.pbtech.co.nz/,Unavailable,2113-10-11
76281,Approved,PB,WKSPBPN332935-a,,New Zealand,New Zealand,http://www.pbtech.co.nz/,http://www.pbtech.co.nz/,Unavailable,2113-10-14
