Adaptive Defrost,ApplStandard,Brand,CEC_,CompartGrVol,CompartNetVol,CompartType,Configuration,Country,Depth,Designation,FF Vol,FZ Vol,Group,Height,Icemaker,MEPSApproval,Model No,Family Name,N-Standard,Star2009,SRI2009,No_Doors,S-MEPS_Ad,S-MEPScutoff,Sold_in,Submit_ID,SubmitStatus,Tot Vol,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Fixed MEPS allowance factor,Variable MEPS allowance factor,Adjusted volume,Type,Star Rating (old),Star Image Large,Star Image Small,Registration Number
No,AS/NZS 4474.2:2001 (Legacy),FISHER & PAYKEL,252,"62.0,6.0","59.0,5.0","Fresh Food,Ice making",Upright,China,470.0,Refrigerator,N/A,N/A,2,636.0,No,MEPS 1999 (table 3.1a),FAU80,,AS/NZS 4474.1:2007,-,-,-,-,350.232,New Zealand,9754,Superseded,N/A,474.0,,2004-12-31,Class 2,Available,,,300.0,0.728,69.0,2,N/A,,,ZRF0001
No,AS/NZS 4474.2:2001 (Legacy),FISHER & PAYKEL,279,"51.0,5.0","43.0,4.0","Fresh Food,Ice making",Upright,China,501.0,Refrigerator,N/A,N/A,2,492.0,No,MEPS 1999 (table 3.1a),FAU50,,AS/NZS 4474.1:2007,-,-,-,-,341.496,New Zealand,10835,Superseded,N/A,480.0,,2004-12-31,Class 2,Available,,,300.0,0.728,57.0,2,N/A,,,ZRF0002
Yes,AS/NZS 4474.2:2001 (Legacy),BOSCH,835,"273.0,141.0","264.0,91.0","Fresh Food,Freezer",Upright,Greece,650.0,Refrigerator/Freezer,N/A,N/A,5B,1850.0,No,MEPS 1999 (table 3.1a),KAKGU4001,,AS/NZS 4474.1:2007,-,-,-,-,1102.754,New Zealand,11488,Superseded,N/A,700.0,,2004-12-31,Class 6,Unavailable,,,424.0,1.256,498.6,5B,N/A,,,ZRF0003
Yes,AS/NZS 4474.2:2001 (Legacy),BOSCH,835,"273.0,141.0","264.0,91.0","Fresh Food,Freezer",Upright,Greece,650.0,Refrigerator/Freezer,N/A,N/A,5B,1850.0,No,MEPS 1999 (table 3.1a),KGU40121,,AS/NZS 4474.1:2007,-,-,-,-,1102.754,New Zealand,11488,Superseded,N/A,700.0,,2004-12-31,Class 6,Unavailable,,,424.0,1.256,498.6,5B,N/A,,,ZRF0003
Yes,AS/NZS 4474.2:2001 (Legacy),BOSCH,835,"273.0,141.0","264.0,91.0","Fresh Food,Freezer",Upright,Greece,650.0,Refrigerator/Freezer,N/A,N/A,5B,1850.0,No,MEPS 1999 (table 3.1a),KAKGU4001,,AS/NZS 4474.1:2007,-,-,-,-,1102.754,"Australia,New Zealand",11491,Superseded,N/A,700.0,,2004-12-31,Class 6,Unavailable,,,424.0,1.256,498.6,5B,N/A,,,ZRF0004
Yes,AS/NZS 4474.2:2001 (Legacy),BOSCH,835,"273.0,141.0","264.0,91.0","Fresh Food,Freezer",Upright,Greece,650.0,Refrigerator/Freezer,N/A,N/A,5B,1850.0,No,MEPS 1999 (table 3.1a),KGU40120IE,,AS/NZS 4474.1:2007,-,-,-,-,1102.754,"Australia,New Zealand",11491,Superseded,N/A,700.0,,2004-12-31,Class 6,Unavailable,,,424.0,1.256,498.6,5B,N/A,,,ZRF0004
No,AS/NZS 4474.2:2001 (Legacy),KELON,517,"64.5,158.1","64.5,150.8","Freezer,Fresh Food",Upright,China,630.0,Refrigerator/Freezer,N/A,N/A,5T,1550.0,No,MEPS 1999 (table 3b),RD-28 WR4HB,,AS/NZS 4474.1:2007,-,-,-,-,752.193,New Zealand,11582,Superseded,N/A,564.0,,2004-12-31,Class 5,Available,,,424.0,1.256,261.3,5T,N/A,,,ZRF0005
No,AS/NZS 4474.2:2001 (Legacy),KELON,585,"66.7,183.1","66.7,179.5","Freezer,Fresh Food",Upright,China,610.0,Refrigerator/Freezer,N/A,N/A,5T,1670.0,No,MEPS 1999 (table 3b),RD-32WR4H,,AS/NZS 4474.1:2007,-,-,-,-,787.989,New Zealand,11589,Superseded,N/A,564.0,,2004-12-31,Class 5,Available,,,424.0,1.256,289.8,5T,N/A,,,ZRF0006
No,AS/NZS 4474.2:2001 (Legacy),INDESIT,547,"72.0,260.0","72.0,257.0","Freezer,Fresh Food",Upright,Italy,600.0,Refrigerator/Freezer,N/A,N/A,4,1750.0,No,MEPS 1999 (table 3b),R34,,AS/NZS 4474.1:2007/Amdt 1:2008,-,-,-,-,807.52,New Zealand,12521,Superseded,N/A,600.0,,2004-12-31,Class 4,Available,,,424.0,1.02,376.0,4,N/A,,,ZRF0007
No,AS/NZS 4474.2:2001 (Legacy),THE WAREHOUSE FREEZER CHEST,349,100.0,100.0,Freezer,Chest,China,-,Freezer,N/A,N/A,1,-,No,MEPS 1999 (table 3b),TWHBD-100,,AS/NZS 4474.1:2007,-,-,-,-,510.72,New Zealand,13183,Superseded,N/A,-,,2004-12-31,Class 8,Available,,,368.0,0.892,160.0,6C,N/A,,,ZRF0018
No,AS/NZS 4474.2:2001 (Legacy),THE WAREHOUSE FREEZER CHEST,349,100.0,100.0,Freezer,Chest,China,-,Freezer,N/A,N/A,1,-,No,MEPS 1999 (table 3b),TWHBD-100,,AS/NZS 4474.1:2007,-,-,-,-,510.72,New Zealand,13184,Superseded,N/A,-,,2004-12-31,Class 8,Available,,,368.0,0.892,160.0,6C,N/A,,,ZRF0009
No,AS/NZS 4474.2:2001 (Legacy),TRIESTE,357,108.2,106.9,Fresh Food,Upright,China,590.0,Refrigerator,N/A,N/A,2,860.0,No,MEPS 1999 (table 3b),TR-14DR4HAS,,AS/NZS 4474.1:2007,-,-,-,-,378.77,New Zealand,13838,Superseded,N/A,505.0,,2004-12-31,Class 2,Available,,,300.0,0.728,108.2,2,N/A,,,ZRF0010
No,AS/NZS 4474.2:2001 (Legacy),INDESIT,575,"183.9,44.0","182.0,44.0","Fresh Food,Freezer",Upright,Italy,600.0,Refrigerator/Freezer,N/A,N/A,4,1390.0,No,MEPS 1999 (table 3b),R24 S NZ,,AS/NZS 4474.1:2007,-,-,-,-,683.386,New Zealand,13894,Superseded,N/A,550.0,,2004-12-31,Class 4,Available,,,424.0,1.02,254.3,4,N/A,,,ZRF0013
No,AS/NZS 4474.2:2001 (Legacy),TRIESTE,585,"183.1,66.7","179.5,66.7","Fresh Food,Freezer",Upright,China,610.0,Refrigerator/Freezer,N/A,N/A,5T,1665.0,No,MEPS 1999 (table 3b),RD-32WR4HC,,AS/NZS 4474.1:2007,-,-,-,-,787.989,New Zealand,13939,Superseded,N/A,565.0,,2004-12-31,Class 5,Available,,,424.0,1.256,289.8,5T,N/A,,,ZRF0012
No,AS/NZS 4474.2:2001 (Legacy),FISHER & PAYKEL,756,"387.5,252.5","381.7,218.6","Fresh Food,Freezer",Side by Side,United States of America,-,Refrigerator/Freezer,N/A,N/A,5S,-,No,MEPS 1999 (table 3b),XRSS204B,,AS/NZS 4474.1:2007,-,-,-,-,1555.687,New Zealand,14446,Superseded,N/A,-,,2004-12-31,Class 7,Available,,,465.0,1.378,791.5,5S,N/A,,,ZRF0017
